ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,WARD PRECINCT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
47561-20170316,"2,507,389",16851,1,"SCS-CHICAGO, LCC.",LE COLONIAL,937 N RUSH ST,CHICAGO,IL,60611,42,42,18,42-42,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,47561,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,,41.90024876,-87.62711776,"(41.90024875525889, -87.62711775843795)"
847-20170316,"2,507,041",159,1,"ANDY'S 11 EAST LOUNGE, LTD.",ANDYS 11 EAST LOUNGE,11 E HUBBARD ST 1ST,CHICAGO,IL,60611,42,55,18,42-55,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,847,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/7/17,AAI,,,41.88996387,-87.62750692,"(41.889963868268154, -87.62750692235896)"
22814-20170316,"2,508,000",63399,1,"TWO HUMBERTO'S, INC.",TIMOTHY O'TOOLE'S,622 N FAIRBANKS CT,CHICAGO,IL,60611,42,41,18,42-41,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,22814,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/8/17,AAI,,,41.8933654,-87.62042206,"(41.89336539713901, -87.62042205744733)"
1357421-20170316,"2,507,292",12619,1,HUGO'S L.L.C.,HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,42,24,18,42-24,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1357421,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
1403802-20170316,"2,507,290",12619,1,HUGO'S L.L.C.,HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,42,24,18,42-24,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1403802,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
22816-20170316,"2,508,002",63399,3,"TWO HUMBERTO'S, INC.",TIMOTHY O'TOOLES,610-622 N FAIRBANKS CT  BKRM,CHICAGO,IL,60611,42,41,18,42-41,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,22816,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/8/17,AAI,,,41.89299987,-87.62041435,"(41.89299986806687, -87.62041435195162)"
40670-20170316,"2,508,037",64192,2,GIBSONS L.L.C.,GIBSONS STEAK HOUSE,1028 N RUSH ST 1ST,CHICAGO,IL,60611,42,24,18,42-24,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,40670,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90148853,-87.62801242,"(41.901488534319434, -87.62801242215315)"
10168-20170316,"2,508,140",85527,1,THE ARTS CLUB OF CHICAGO,THE ARTS CLUB OF CHICAGO,201 E ONTARIO ST  1ST &,CHICAGO,IL,60611,42,41,18,42-41,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,10168,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.89325357,-87.62259429,"(41.893253564575346, -87.6225942872089)"
40669-20170316,"2,508,038",64192,2,GIBSONS L.L.C.,GIBSONS STEAK HOUSE,1028 N RUSH ST 1ST,CHICAGO,IL,60611,42,24,18,42-24,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",40669,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90148853,-87.62801242,"(41.901488534319434, -87.62801242215315)"
10167-20170316,"2,508,139",85527,1,THE ARTS CLUB OF CHICAGO,THE ARTS CLUB OF CHICAGO,201 E ONTARIO ST  1ST &,CHICAGO,IL,60611,42,41,18,42-41,1473,Not-For-Profit Club,639,"Consumption of Liquor on Premises, Not for Profit",10167,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.89325357,-87.62259429,"(41.893253564575346, -87.6225942872089)"
1403803-20170316,"2,507,291",12619,1,HUGO'S L.L.C.,HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,42,24,18,42-24,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1403803,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
22813-20170316,"2,508,001",63399,1,"TWO HUMBERTO'S, INC.",TIMOTHY O'TOOLE'S,622 N FAIRBANKS CT,CHICAGO,IL,60611,42,41,18,42-41,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",22813,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/8/17,AAI,,,41.8933654,-87.62042206,"(41.89336539713901, -87.62042205744733)"
52749-20170316,"2,507,287",12619,1,HUGO'S L.L.C.,HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,42,24,18,42-24,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",52749,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
52750-20170316,"2,507,293",12619,1,HUGO'S L.L.C.,HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,42,24,18,42-24,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,52750,RENEW,,1/15/17,2/7/17,N,3/16/17,3/15/19,2/7/17,2/8/17,AAI,,,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
1974251-20170316,"2,507,776",58019,1,"MAXINE, LTD.",MAXINE,"712 N RUSH ST BSMT, 1ST, 2ND",CHICAGO,IL,60611,42,19,18,42-19,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1974251,RENEW,,1/15/17,2/6/17,N,3/16/17,3/15/19,2/6/17,2/9/17,AAI,,,,,
1915137-20170316,"2,509,418",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1915137,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1915129-20170316,"2,509,423",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1915129,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1915126-20170316,"2,509,420",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1915126,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1915125-20170316,"2,509,424",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1915125,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1915130-20170316,"2,509,422",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1915130,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
2016823-20170316,"2,509,419",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2016823,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
1915138-20170316,"2,509,425",333411,1,ACCOR BUSINESS AND LEISURE MANAGEMENT LLC,Sofitel Chicago Magnificient Mile,20 E CHESTNUT ST,CHICAGO,IL,60611,2,32,18,Feb-32,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1915138,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/9/17,AAI,,,41.89844464,-87.62740564,"(41.898444636675144, -87.62740563976503)"
16109-20170316,"2,508,150",85694,1,THE NEIMAN MARCUS GROUP LLC,NEIMAN MARCUS,737 N MICHIGAN AVE 4TH,CHICAGO,IL,60611,2,38,18,Feb-38,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,16109,RENEW,,1/15/17,2/9/17,N,3/16/17,3/15/19,2/9/17,2/10/17,AAI,,,41.89603605,-87.62413103,"(41.89603605011911, -87.62413103273497)"
16108-20170316,"2,508,149",85694,1,THE NEIMAN MARCUS GROUP LLC,NEIMAN MARCUS,737 N MICHIGAN AVE 4TH,CHICAGO,IL,60611,2,38,18,Feb-38,1474,Package Goods,774,Retail Sales of Packaged Liquor,16108,RENEW,,1/15/17,2/9/17,N,3/16/17,3/15/19,2/9/17,2/10/17,AAI,,,41.89603605,-87.62413103,"(41.89603605011911, -87.62413103273497)"
2141814-20170316,"2,507,414",18563,5,VOLARE ASSOCIATES LIMITED. PARTNER,VOLARE,201-205 E GRAND AVE 1,CHICAGO,IL,60611,42,41,18,42-41,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2141814,RENEW,,1/15/17,2/8/17,N,3/16/17,3/15/19,2/8/17,2/10/17,AAI,,,41.89165221,-87.62260381,"(41.89165221441017, -87.62260381408842)"
80267-20170316,"2,507,475",23355,1,"P.F. CHANG'S CHINA BISTRO, INC.",P.F. CHANG CHINA BISTRO,530 N WABASH AVE  LEG. DPT,CHICAGO,IL,60611,42,22,18,42-22,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,80267,RENEW,,1/15/17,2/9/17,N,3/16/17,3/15/19,2/9/17,2/10/17,AAI,,,41.89172472,-87.6268666,"(41.891724723864655, -87.62686659874761)"
8866-20170316,"2,507,137",4180,1,"STREETER'S TAVERN, INC.",STREETERS TAVERN,50 E CHICAGO AVE,CHICAGO,IL,60611,42,32,18,42-32,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,8866,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.89681404,-87.62627782,"(41.89681403921755, -87.62627782343786)"
2163007-20170316,"2,509,832",368478,2,MALGO CORPORATION,GO! GROCER,2930 N SHERIDAN RD 1,CHICAGO,IL,60657,44,24,19,44-24,1474,Package Goods,774,Retail Sales of Packaged Liquor,2163007,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.9352935,-87.63953546,"(41.9352934991878, -87.63953546157597)"
2354296-20170316,"2,509,172",311736,2,"LUCKY STRIKE CHICAGO, LLC",LUCKY STRIKE LANES,322 E ILLINOIS ST 2,CHICAGO,IL,60611,42,41,18,42-41,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2354296,RENEW,,1/15/17,2/10/17,N,3/16/17,3/15/19,2/10/17,2/14/17,AAI,,,41.89113317,-87.61916021,"(41.891133170854566, -87.61916020704619)"
1797809-20170316,"2,509,178",312827,1,"ABSOLUTE GLOBAL INTEGRATION, CORP.",FRIENDS SUSHI,710 N RUSH ST 1,CHICAGO,IL,60611,42,19,18,42-19,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1797809,RENEW,,1/15/17,2/12/17,N,3/16/17,3/15/19,2/12/17,2/14/17,AAI,,,41.89532082,-87.6256201,"(41.89532082029217, -87.62562009892783)"
8867-20170316,"2,507,140",4180,1,"STREETER'S TAVERN, INC.",STREETERS TAVERN,50 E CHICAGO AVE,CHICAGO,IL,60611,42,32,18,42-32,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",8867,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.89681404,-87.62627782,"(41.89681403921755, -87.62627782343786)"
2121032-20170316,"2,509,827",366884,1,"4C 15 E. ILLINOIS OPERATIONS, LLC",FREMONT BAR,15 W ILLINOIS ST 1-2,CHICAGO,IL,60654,42,55,18,42-55,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2121032,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.89074352,-87.62867006,"(41.890743519442395, -87.62867006019057)"
2327094-20170316,"2,510,159",389907,1,"GO! GROCER LOYOLA, INC.",GO! GROCER LOYOLA,6435 N SHERIDAN RD 1,CHICAGO,IL,60626,49,17,24,49-17,1474,Package Goods,774,Retail Sales of Packaged Liquor,2327094,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,54,41.99923908,-87.66051927,"(41.99923907977025, -87.6605192740872)"
2354298-20170316,"2,509,173",311736,2,"LUCKY STRIKE CHICAGO, LLC",LUCKY STRIKE LANES,322 E ILLINOIS ST 2,CHICAGO,IL,60611,42,41,18,42-41,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2354298,RENEW,,1/15/17,2/10/17,N,3/16/17,3/15/19,2/10/17,2/14/17,AAI,,,41.89113317,-87.61916021,"(41.891133170854566, -87.61916020704619)"
1619404-20170316,"2,508,945",292769,1,"PIL II BEVERAGE SERVICES, LLC",HILTON CHICAGO/ MAGNIFICENT MILE SUITES,198 E DELAWARE PL,CHICAGO,IL,60611,2,35,18,Feb-35,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1619404,RENEW,,1/15/17,2/10/17,N,3/16/17,3/15/19,2/10/17,2/14/17,AAI,,,41.89935174,-87.62198691,"(41.89935173506942, -87.62198690644685)"
8868-20170316,"2,507,138",4180,1,"STREETER'S TAVERN, INC.",STREETERS TAVERN,50 E CHICAGO AVE,CHICAGO,IL,60611,42,32,18,42-32,1472,Music and Dance,916,Music and Dance,8868,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.89681404,-87.62627782,"(41.89681403921755, -87.62627782343786)"
1619403-20170316,"2,508,944",292769,1,"PIL II BEVERAGE SERVICES, LLC",HILTON CHICAGO/ MAGNIFICENT MILE SUITES,198 E DELAWARE PL,CHICAGO,IL,60611,2,35,18,Feb-35,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1619403,RENEW,,1/15/17,2/10/17,N,3/16/17,3/15/19,2/10/17,2/14/17,AAI,,,41.89935174,-87.62198691,"(41.89935173506942, -87.62198690644685)"
2233031-20170316,"2,508,947",292769,1,"PIL II BEVERAGE SERVICES, LLC",HILTON CHICAGO/ MAGNIFICENT MILE SUITES,198 E DELAWARE PL,CHICAGO,IL,60611,2,35,18,Feb-35,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2233031,RENEW,,1/15/17,2/10/17,N,3/16/17,3/15/19,2/10/17,2/14/17,AAI,,,41.89935174,-87.62198691,"(41.89935173506942, -87.62198690644685)"
70225-20170316,"2,507,435",21359,1,"Ralph Lauren Lifestyles Concepts, LLC",RL,115 E CHICAGO AVE 1&2 1ST,CHICAGO,IL,60611,42,48,18,42-48,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,70225,RENEW,,1/15/17,2/13/17,N,3/16/17,3/15/19,2/13/17,2/14/17,AAI,,,41.89661584,-87.62473177,"(41.896615842663785, -87.62473176968788)"
2178587-20170316,"2,509,858",374485,1,"CINEMA BEVERAGES HOLDING COMPANY, LLC",CENTURY CENTRE LOUNGE,2828 N CLARK ST 4TH,CHICAGO,IL,60657,44,45,19,44-45,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2178587,RENEW,,1/15/17,1/27/17,N,3/16/17,3/15/19,1/27/17,2/15/17,AAI,,8,41.93347404,-87.64559929,"(41.93347403945103, -87.64559929166136)"
2279184-20170316,"2,508,193",86355,14,"VOSGES,  LTD.",VOSGES HAUT-CHOCOLAT,2950 N OAKLEY AVE 1,CHICAGO,IL,60618,32,42,19,32-42,1474,Package Goods,774,Retail Sales of Packaged Liquor,2279184,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.93540896,-87.68567898,"(41.935408962609706, -87.68567897564071)"
1299705-20170316,"2,508,466",220602,1,"SLA DUE, INC.",PIZZERIA DUE,619 N WABASH AVE,CHICAGO,IL,60611,42,22,18,42-22,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1299705,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89318499,-87.62661003,"(41.8931849885056, -87.62661002969385)"
1331159-20170316,"2,508,467",220602,1,"SLA DUE, INC.",PIZZERIA DUE,619 N WABASH AVE,CHICAGO,IL,60611,42,22,18,42-22,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1331159,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89318499,-87.62661003,"(41.8931849885056, -87.62661002969385)"
1194929-20170316,"2,508,469",220603,1,"SLA UNO, INC.",PIZZERIA UNO CHICAGO BAR & GRILL,29 E OHIO ST,CHICAGO,IL,60611,42,22,18,42-22,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1194929,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89238342,-87.62680479,"(41.89238341663872, -87.6268047865619)"
1194933-20170316,"2,508,473",220608,1,"SLA SU CASA, INC.",SU CASA,49 E ONTARIO ST,CHICAGO,IL,60611,42,22,18,42-22,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1194933,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89319256,-87.62617281,"(41.89319255965124, -87.62617281400281)"
1798932-20170316,"2,508,188",86355,9,"VOSGES,  LTD.",VOSGES HAUT-CHOCOLAT,951 W ARMITAGE AVE 1,CHICAGO,IL,60614,43,9,18,43-9,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1798932,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.91800163,-87.65296722,"(41.91800163277898, -87.65296721688298)"
1803485-20170316,"2,508,470",220603,1,"SLA UNO, INC.",PIZZERIA UNO CHICAGO BAR & GRILL,29 E OHIO ST,CHICAGO,IL,60611,42,22,18,42-22,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1803485,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89238342,-87.62680479,"(41.89238341663872, -87.6268047865619)"
2130062-20170316,"2,509,831",368271,1,"MAS ALLA DEL SOL, INC.",MAS ALLA DEL SOL,5848 N BROADWAY  1,CHICAGO,IL,60660,48,48,20,48-48,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2130062,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,26,41.98843358,-87.6603637,"(41.988433580819205, -87.660363697635)"
1194923-20170316,"2,508,465",220602,1,"SLA DUE, INC.",PIZZERIA DUE,619 N WABASH AVE,CHICAGO,IL,60611,42,22,18,42-22,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1194923,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89318499,-87.62661003,"(41.8931849885056, -87.62661002969385)"
1817415-20170316,"2,508,472",220608,1,"SLA SU CASA, INC.",SU CASA,49 E ONTARIO ST,CHICAGO,IL,60611,42,22,18,42-22,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,1817415,RENEW,,1/15/17,2/15/17,N,3/16/17,3/15/19,2/15/17,2/16/17,AAI,,,41.89319256,-87.62617281,"(41.89319255965124, -87.62617281400281)"
